actors,director,genre,imdb_rating,just_rating,opening_date,posterLink,runtime,synopsis,title_kor
WaltDisney,UbIwerks,애니메이션,80%,80%,1928,https://images.justwatch.com/poster/18697230/s592,8min,첫 미키 마우스 애니메이션 개봉작이자 동시 녹음을 활용한 최초의 애니메이션. 배 위의 장난꾸러기 선원 미키는 미니를 기쁘게 하기 위해 동물들을 악기 삼아 “짚 속의 칠면조”를 연주한다. 포악한 피트 선장의 화를 돋운 미키는 조리실에서 감자 깎는 일을 하게 된다.,증기선 윌리
"ClarenceNash,EstherCampbell,MarionDarlington,PintoColvig,WaltDisney",BurtGillett,애니메이션,73%,73%,1932,https://images.justwatch.com/poster/11993645/s592,8min,A jealous stump threatens two trees that are in love by starting a forest fire. When the rain comes and puts out the fire the forest revives and celebrates the wedding.,Flowers and Trees
"BillyBletcher,PintoColvig,DorothyCompton,MaryModer",BurtGillett,"애니메이션,코미디,가족,음악",74%,74%,1933,https://images.justwatch.com/poster/19274730/s592,8min,"아카데미 상을 받은 이 단편에서, 아기 돼지 삼 형제는 각자의 집을 짓는다. 하나는 짚으로, 하나는 나무로, 하나는 늑대를 막을 수 있는 벽돌로. 커다란 나쁜 늑대가 찾아와 초가집과 나무집을 불어 날려 버린다. 세 마리의 돼지들은 현실적인 돼지의 벽돌집으로 피신하고, 늑대는 벽돌 집을 불어 무너뜨리지 못한다.",아기 돼지 삼형제
"EddieHolden,NedNorton,PintoColvig,MarcelliteGarner",WilfredJackson,"판타지,다큐멘터리",73%,73%,1935,https://images.justwatch.com/poster/138275030/s592,9min,"The Tortoise and the Hare is an animated short film released on January 5, 1935 by United Artists, produced by Walt Disney and directed by Wilfred Jackson. Based on an Aesop's fable of the same name, The Tortoise and the Hare won the 1934 Academy Award for Best Short Subject: Cartoons. This cartoon is also believed to be one of the influences for Bugs Bunny.",The Tortoise and the Hare
"FlorenceGill,ClarenceNash,PurvPullen",WilfredJackson,애니메이션,70%,70%,1934,https://images.justwatch.com/poster/241272125/s592,8min,"고전 단편 애니메이션 '현명한 암탉'에 도날드 덕이 데뷔한다. 옥수수를 심고 있는 작은 암탉은 돼지 피터와 도날드 덕으로부터 도움을 요청하지만, 둘 다 '배가 아프다'며 거절한다. 옥수수를 수확할 때가 되자 돼지 피터와 도날드는 여전히 암탉을 돕지 않고, 이에 암탉과 병아리들은 직접 수확을 한다. 마침내 암탉은 옥수수를 요리하고, 도날드와 돼지 피터에게 요리를 권하지만, 자세히 보니 그들은 놀라운 사실을 발견한다.",현명한 암탉
"AdrianaCaselotti,LucilleLaVerne,HarryStockwell,RoyAtwell,PintoColvig,OtisHarlan,ScottyMattraw,BillyGilbert,EddieCollins,MoroniOlsen,StuartBuchanan,MarionDarlington,PurvPullen",DavidHand,"판타지,가족,로맨스,애니메이션,드라마,스릴러",7.6,82%,1937,https://images.justwatch.com/poster/244022805/s592,1시간23분,"아주 먼 옛날, 왕비는 뱃속의 아이가 눈처럼 하얀 피부에 사과처럼 붉은 입술, 장미빛 뺨을 지닌 공주이기를 빌었다. 드디어 왕비는 예쁜 공주를 낳고 그녀를 백설공주라 불렀다. 백설공주는 모든 사람들의 사랑을 받으며 자라났지만 왕비가 죽고 새로 들어온 계모가 여왕이 되자 혹독한 시달림을 받는다. 계모에게는 신비로운 마술 거울이 있었는데, 어느 날 여왕이 세상에서 가장 아름다운 사람은 누구냐고 질문하자 마술 거울은 백설공주라고 대답한다. 분노한 여왕은 사냥꾼을 불러 백설공주를 죽이도록 명령하지만, 사냥꾼은 백설공주의 순수한 마음씨에 감동하여 그녀를 죽이는 대신 계모를 피해서 도망치도록 일러주는데...",백설공주와 일곱 난쟁이
"WaltDisney,ClarenceNash,BillyBletcher,DannyWebb,PintoColvig",BurtGillett,코미디,72%,72%,1937,https://images.justwatch.com/poster/155008643/s592,9min,"미키 마우스, 도날드 덕, 구피는 '아약스 유령 퇴치 회사'를 운영한다. 이들은 집으로 와달라는 외롭고 심심한 유령으로부터 전화를 받고, 장난꾸러기 유령들의 익살 맞은 장난으로 바보같이 겁에 질린다.",외로운 유령들
"MiltKahl,DonWilson,WaltDisney",DickRickard,"애니메이션,코미디,가족",72%,72%,1938,https://images.justwatch.com/poster/250350804/s592,8min,아카데미 수상 단편. 조용하고 상냥하며 길가에 멈춰 서서 꽃향기 맡는 것을 좋아하는 한 마리의 소. 어쩌다 벌에 쏘인 퍼디낸드를 보고 무시무시한 짐승으로 여긴 마을 사람들은 퍼디낸드를 소싸움 판에 내보내는데. 그러나 막상 싸움판에 올라간 퍼디낸드의 관심은 투우사에게 주어지는 꽃다발뿐.,황소 페르디난드
"PintoColvig,WaltDisney,ClarenceNash",BenSharpsteen,코미디,80%,80%,1938,https://images.justwatch.com/poster/180323281/s592,7min,"Goofy's in the driver's seat, Mickey's in the kitchen, and Donald's in bed in Mickey's high-tech house trailer. When Goofy comes back to eat breakfast, leaving the car on autopilot, it takes them onto a dangerous closed mountain road. When Goofy realizes this, he accidentally unhooks the trailer, sending it on a perilous route. They come very close to disaster several times, while the oblivious Goofy drives on and hooks back up to them.",Mickey's Trailer
"DeemsTaylor,WaltDisney,JuliettaNovis,LeopoldStokowski","PaulSatterfield,HamiltonLuske,JimHandley,FordBeebe,T.Hee,WilfredJackson,WilliamRoberts,BenSharpsteen,JamesAlgar,SamuelArmstrong,NormanFerguson,DavidHand","애니메이션,가족,판타지,음악",7.7,84%,1940,https://images.justwatch.com/poster/242624015/s592,2시간4분,"8곡의 클래식 음악에 각각 다른 성격의 애니메이션을 결합한 것으로, 총 10명이 연출을 맡고 25명이 스토리 작업에 투입된 작품이다. 판타지아에는 바흐의 토카타와 푸가, 베토벤의 전원 교향곡, 차이콥스키의 호두까기 인형, 스트라빈스키의 봄의 제전, 뒤카의 마법사의 제자, 폰키엘리의 시간의 춤, 무소륵스키의 민둥산의 하룻밤, 슈베르트의 아베 마리아가 환상적인 영상과 함께 실려 있다. 연주를 담당한 악단은 세계 정상급 교향악단인 필라델피아 오케스트라이고, 지휘는 영화 오케스트라의 소녀에도 출연한 적이 있는 세계적인 지휘자 레오폴드 스토코프스키가 맡았다.",환타지아
