actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
"ToddArmstrong,NancyKovack,GaryRaymond,LaurenceNaismith,NiallMacGinnis,MichaelGwynn,DouglasWilmer,JackGwillim,HonorBlackman,JohnCairney,PatrickTroughton,AndrewFaulds,NigelGreen,JohnCrawford,FerdinandoPoggi,EnnioAntonelli,HaroldBradley,AldoCristiani,EvaHaddon,DougRobinson,TimTurner",DonChaffey,"판타지,액션,가족",7.3 (27k),79%,1963,1시간44분,"펠리아스는 아리스토왕을 죽이고 테살리아를 정복하겠지만 아리 스토왕의 자식에 의해 왕관을 빼앗기게 될 것이라는 신탁을 듣게 된다. 이에 두려움 을 느낀 펠리아스는 테살리아를 공격해 아리스토왕의 자식을 남김없이 처치하려 하지 만 제이슨은 헤라 여신의 도움으로 가까스로 살아남게 된다. 한편 헤라는 펠리아스에게 한쪽 신발을 신은 청년에 의해 죽게 될 것이라는 예언을 남기고.  세월이 흘러 청년이 된 제이슨은 헤라의 술책으로 물에 빠져 죽음의 위기에 처 한 펠리아스를 구하게 된다. 그러나 제이슨은 물에 뛰어들 때 신발을 한짝 잃게 되고, 이것을 본 펠리아스는 그가 아리스토왕의 자식임을 눈치채고, 평화를 위해서는 황금양털 이 필요하다는 핑계로 제이슨을 콜키스로 떠나 보낸다. 제이슨은 그리스의 최고의 선원들과 함께 항해를 떠난다. 그 중에는 헤라클레스도 끼어 있었다.  제이슨 일행은 청동거인 타로스와 스케레톤의 군대 등과 맞서 싸우며 천신만고 끝에 콜키스에 도착하지만 펠리아스가 미리 숨겨놓은 그의 아들 아카스터스의 모략으로 함정에 빠지게 된다. 콜키스의 여성 사제인 메디아의 도움으로 함정에서 벗어난 제이슨은 머리가 여럿 달린 괴물 히드라와의 처절한 사투 끝에 마침내 황금 양털을 빼앗아 콜키스를 빠져나온다. 그러나 이 모든 것이 제우스와 헤라가 인간을 말 삼아 벌인 장기게임이었으니.",아르고 황금 대탐험
"PeterO'Toole,OmarSharif,AlecGuinness,JackHawkins,AnthonyQuinn,JoséFerrer,AnthonyQuayle,ClaudeRains,ArthurKennedy,DonaldWolfit,I.S.Johar,GamilRatib,MichelRay,JohnDimech,ZiaMohyeddin,HowardMarion-Crawford,JackGwillim,HughMiller,JohnBarry,BruceBeeby,FredBennett,JohnBennett,SteveBirtles,RobertBolt,PeterBurton,J.R.M.Chapman,BasilDignam,PeterDukelow,MohamedElHabachi,KennethFortescue,HarryFowler,JamesHayter,JackHedley,RafaelHernández,NoelHowlett,PatrickKavanagh,DavidLean,IanMacNaughton,CliveMorton,DanielMoynihan,HenryOscar,GeorgePlimpton,BryanPringle,ErnieRice,RobertRietti,JohnRobinson,NormanRossington,JohnRuddock,FernandoSancho,StuartSaunders,CyrilShaps,RoyStevens,BarryWarren",DavidLean,"드라마,전쟁,역사",8.3 (285k),89%,1962,3시간36분,영국 정보국 소속 장교 로렌스(T.E. Lawrence: 피터 오툴 분)는 1차대전 중 중동지역의 전투에서 아랍 부족의 지원을 받기 위해 아랍 지역으로 파견된다. 그런데 그는 영국 정부가 바라던 것 이상으로 아랍의 지도자들을 사로 잡고 아랍의 독립을 위해 열심히 싸워 아랍 민족으로 부터 ‘아라비아의 로렌스’라는 영웅적인 칭호를 받게 된다. 그는 아랍 전사들을 이끌고 터키군들과 싸우면서 규율을 잡기 위해 남의 마을의 우물물을 마신 병사를 과감히 처형하는 등 독한 모습을 보여준다. 그러나 그의 그런 용맹성은 터키 군에게 포로로 잡힌 후 그곳에서 받은 성적 학대를 통해 병적으로 발전된다. 그리고 마침내 영국 정부의 소환을 받고 런던으로 돌아오지만 중동으로 보내 줄 것을 요구하면서 사막으로 돌아가길 원한다. 그러나 이미 정치적으로 타결이 된 아라비아 사막은 그를 원치 않았는데.,아라비아의 로렌스
"CatherineDeneuve,NinoCastelnuovo,AnneVernon,MireillePerrey,MarcMichel,EllenFarner,JeanChampion,PierreCaden,Jean-PierreDorat,BernardFradet,PhilippeDumat,DorothéeBlanck,JaneCarat,HaraldWolff,DanielleLicari,JoséBartel,ChristianeLegrand,GeorgesBlaness,ClaudineMeunier,ClaireLeclerc,PatrickBricard,JacquesCamelinat,FrançoisCharet,Jean-PierreChizat,JacquesDemy,BernardGarnier,GisèleGrandpré,HervéLegrand,MichelLegrand,MyriamMichelson,PaulPavel,RogerPerrinoz,RosalieVarda",JacquesDemy,"드라마,로맨스,MadeinEurope",7.8 (26k),83%,1964,1시간31분,"프랑스 노르망디 해협의 작은 항구도시 쉘부르, 어머니의 우산가게 일을 돕는 ‘쥬느비에브’와 자동차 수리공 ‘기’는 사랑에 빠진다. 팍팍한 현실과 주위의 반대에도 불구하고 행복한 미래를 꿈꾸던 어린 연인들. 하지만 갑작스러운 ‘기’의 군 입대로 둘은 원치 않은 이별을 하게 되는데…",쉘부르의 우산
"AudreyHepburn,RexHarrison,StanleyHolloway,WilfridHyde-White,GladysCooper,JeremyBrett,TheodoreBikel,MonaWashbourne,IsobelElsom,JohnHolland,ColinKenny,BertStevens,FrankBaker,MarjorieBennett,BettyBlythe,ArthurTovey,MarniNixon,AlBain,WilliamBeckley,LillianKemble-Cooper,HenryDaniell,BrendanDillon",GeorgeCukor,"로맨스,드라마,가족",7.8 (93k),84%,1964,2시간40분,"런던의 한 극장 앞에서 남루한 복장과 품위 없는 말투로 꽃을 팔고 있는 일라이자(오드리 햅번)를 본 언어학자 히긴스 교수(렉스 해리슨)와 그의 친구 피거링 대령이 이 여인을 데려다가 세련되고 우아한 귀부인으로 만들 수 있을 지 없을 지 내기를 한다. 그 후 일라이자는 히긴스 교수의 집에서 귀부인이 되기 위한 걸음걸이, 식사예절, 말하는 법 등의 특별훈련을 받는다. 드디어 그녀는 교육을 받은 효과가 나타나기 시작하고 히긴스 교수는 여왕이 참석하는 무도회에 일라이자를 데리고 간다. 이 무도회에서 그녀는 다른 어떤 여인들 보다 아름답고 세련된 완벽한 숙녀가 되어 있었다. 그러나 자신이 변할 수 있을지를 두고 히긴스와 피거링이 내기를 했다는 사실을 알게 되는데...",마이 페어 레이디
"DustinHoffman,AnneBancroft,KatharineRoss,MurrayHamilton,BuckHenry,BrianAvery,WalterBrooke,WilliamDaniels,ElizabethWilson,NormanFell,AliceGhostley,MarionLorne,EddraGale,RichardDreyfuss,ArthurTovey,WilliamH.O'Brien,FrankBaker,ElisabethFraser,ElaineMay",MikeNichols,"코미디,드라마,로맨스",8.0 (267k),85%,1967,1시간46분,"이스턴 대학을 우수한 성적으로 졸업하고 귀가한 벤저민은 주변 사람들로부터 기대를 한 몸에 받고 있지만 졸업 후 자신이 무엇을 해야 할 지에 대해선 아무런 계획이나 이상도 갖고 있지 못한 인물. 그는 파티석상에서부터 시작된 미세스 로빈슨의 끈질긴 휴혹에 걸려들어 마침내 무질서한 생활에 빠져든다. 그녀의 조카 엘레인을 로빈슨으로부터 소개받은 벤은 미세스 로빈슨의 강요로 엘레인을 따돌리려 하나, 그녀의 진실을 깨닫게 되어 둘은 사랑에 빠진다. 그러나 이모와의 불륜을 알게 되어 고민하던 엘레인은 학교로 돌아가 의대생인 칼 스미스와의 결혼을 생각하게 된다.",졸업
"BruceLee,JohnSaxon,JimKelly,SekKin,AhnaCapri,RobertWall,AngelaMaoYing,BettyChung,BoloYeung,GeoffreyWeeks,RoyChiao,YuenBiao,MarleneClark,SammoHung,JackieChan,PhillipKo,MangHoi,Mars,PeterChanLung,PaulChungFat,TaiBo,TonyLiu,YuenWah,LamChing-Ying",RobertClouse,"액션,범죄,드라마,스릴러",7.7 (102k),83%,1973,1시간42분,"미국 정보부에서는 헤로인을 밀조하고 인신매매까지 벌이는 한을 체포하기 위해, 소림사 출신의 무술인 리에게 도움을 청한다. 쿵푸학교로 위장된 한의 요새화된 섬에서 3년마다 열리는 무술대회에 출전하게 하는데, 누이동생의 죽음이 한과 관련이 있는 것을 알고 그들을 응징하기로 마음 먹는다. 섬에 도착한 무술인들 중에는 암흑조직에 쫒기는 로퍼와 가라데 선수로 경찰에 쫒기는 흑인 윌리암즈가 있었다. 리는 정보부에서 미리 침투시킨 메이 링과의 접선에 성공하고, 그녀로부터 섬의 여자들이 계속 실종되고 있다는 말을 듣고 야밤에 몰래 정탐을 하기로 계획하는데...",용쟁호투
"GrahamChapman,JohnCleese,EricIdle,TerryGilliam,TerryJones,MichaelPalin,ConnieBooth,CarolCleveland,NeilInnes,BeeDuffell,JohnYoung,RitaDavies,AvrilStewart,SallyKinghorn,MarkZycon,ElspethCameron,MitsukoForstater,SandyJohnson,SandyRose,RomillySquire,JoniFlynn,AlisonWalker,LoraineWard,AnnaLanski,SallyCoombe,VivienneMacDonald,YvonneDick,DaphneDarling,FionaGordon,JudyLamb,TracySneddon,JoycePollner,MaryAllen,GloriaGraham,SylviaTaylor,JulianDoyle,MargaritaDoyle,ZackMatalon,ScottMike,WilliamPalin,TerryJones,TomRaeburn,BrianRoss,RoyForgeSmith,JohnThornton,MaggieWeston","TerryJones,TerryGilliam","판타지,코미디",8.2 (527k),87%,1975,1시간31분,"아더왕은 영국 전역을 돌아다니며 자신들을 보좌할 기사들을 모집한다. 결국 용맹한 기사들 랑셀럿, 로빈, 베드베어 그리고 갈라드를 합류시킨 아더왕은 신의 계시에 따라 잃어버린 성배를 찾으러간다. 각각 흩어져 성배의 수색을 하지만 용맹한만큼 멍청하기도한 기사들은 성배를 찾기는 커녕 소동만을 일으키고 만다.",몬티 파이튼의 성배
"JohnTravolta,GlynnisO'Connor,RobertReed,DianaHyland,KarenMorrow,HowardPlatt,BuzzAldrin,RalphBellamy,JohnFriedrich,KellyWard,JohnMegna,VerneeWatson-Johnson,DarrellZwerling,P.J.Soles,TimothyHimes,VictorBrandt,HildaHaynes,JackMcLaughlin-Gray,ErnaFoxworth,KarriKirsch,KimberlyKirsch,SethWagerman,AnneRamsey,LenFelber",RandalKleiser,"드라마,로맨스",5.7 (4k),64%,1976,1시간36분,선천적으로 면역력 없이 태어난 소년. 바깥 공기를 막아주는 플라스틱 버블만이 그의 안전한 둥지다. 하지만 이후 좋아하는 여자애가 생기면서 그의 세상인 버블은 걸림돌이 되고 만다.,사랑의 승리
"GertWestphal,AdolfHitler",JoachimFest,"역사,다큐멘터리,MadeinEurope",7.5 (2k),82%,1977,2시간30분,"속임수, 심리 분석, 이미지 형성에 타고난 재능을 보였던 아돌프 히틀러가 비천한 신분을 극복하고 세계 정복을 꿈꾸기까지의 과정을 탐구한 다큐멘터리.",히틀러: 파시즘의 진화
"GordonLiuChia-Hui,LoLieh,JohnCheungNg-Long,WilsonTong,WaLun,HonKwok-Choi,BruceLauKar-Wing,WaiWang,ChanSze-Kai,WongChing-Ho,WooWang-Daat,LeeHoi-Sang,HaoLi-Jen,ShumLo,ChanShen,ChiangNan,WangHan-Chen,NormanChui,RichardGamTin-Chue,KeungHon,YuenSiu-Tien,WongYu,HsiaoHo,TingTung,Szu-ChiaChen,AlanChungSanChui",LiuChia-Liang,"액션,드라마",7.7 (16k),83%,1978,1시간55분,청나라 군사들에게 부모를 잃은 유덕(유가휘)은 복수를 위해 소림사에 입문하여 36방을 거치며 무술을 연마하는데...,소림36방
