actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Carey Mulligan , Bo Burnham , Alison Brie , Clancy Brown , Jennifer Coolidge , Laverne Cox , Chris Lowell , Molly Shannon , Connie Britton , Adam Brody , Max Greenfield , Christopher Mintz-Plasse , Steve Monroe , Sam Richardson , Ray Nicholson , Timothy E. Goodwin , Alli Hart , Loren Paul , Scott Aschenbrenner , Gabriel Oliva , Bryan Lillis , Francisca Estevez , Lorna Scott , Casey Adams , Vince Lozano , Mike Horton , Angela Zhou , Austin Talynn Carpenter , Emerald Fennell , Alfred Molina ", Emerald Fennell ,"범죄 ,드라마 ,스릴러 ,코미디 ", 7.5 (152k) , 83% , 2020 ,1시간 53분,7년 전 의대를 중퇴하고 카페에서 일하는 카산드라는 남성이 몸을 가누기 힘들어하는 자신에게 접근해 합의되지 않은 성관계를 시도하려고 할 때 다시 취하지 않은 모습으로 돌아와 남성을 혼란에 빠뜨리고 밖으로 나와 버린다. 그가 이런 위험한 연극을 반복해온 데는 이유가 있다. 그 사연은 우연히 가게에 라이언이 방문해 카산드라에게 데이트를 신청하면서 점점 수면 위로 떠오른다.,프라미싱 영 우먼
" Elle Lorraine , Jay Pharoah , Lena Waithe , Kelly Rowland , Vanessa Williams , Laverne Cox , Chanté Adams , Blair Underwood , James Van Der Beek , Usher , Yaani King Mondschein , Michelle Hurd , Judith Scott , Robin Thede , Ashley Blaine Featherson , Steve Zissis , MC Lyte , Zaria Kelley , Corinne Massiah , Moses Storm , Jon Gabrus , Nicole Byer , Justin Simien ", Justin Simien ,"코미디 ,공포 ,음악 ", 5.6 (3k) , 62% , 2020 ,1시간 42분,"1989년, 야심 찬 젊은 여성이 이미지에 집착하는 음악 방송계에서 성공하기 위해 헤어스타일을 바꾼다. 하지만 새로 심은 타인의 머리카락에 영혼이 있다는 사실을 알아차리고, 승승장구할 것만 같았던 음악 경력은 곧 대가를 치르게 된다.",배드 헤어
" Guan-Ting Liu , Patty Pei-Yu Lee , Duncan Lai , Joanne Missingham , Lian-yu Huang , Mei Zhao-Lin , Tai-Jui Wu , Xiao Ying Bai , Tzu-Chiang Wang , Gu Bao-Ming , Bamboo Chen , Lin Mei-shiu , Umin Boya , Kerr Hsu , Cres Chuang , Vincent Liang , Lang Tsu-Yun , Heaven Hai , Tsai-Hsing Chang , Tom Lin ", Yu-Hsun Chen ,"코미디 ,판타지 ,드라마 ,로맨스 ", 7.2 (1k) , 77% , 2020 ,1시간 59분,"모든 것이 1초 빠른 여자, 샤오치. 기다리고 기다리던 데이트가 있는 발렌타인데이! 그러나, 자고 일어났더니 발렌타인데이가 사라졌다?! 모든 것이 1초 느린 남자, 타이. 짝사랑하는 그녀가 다른 사람과 데이트하는 발렌타인데이! 그러나, 고백도 못 하고 차이려던 찰나 시간이 멈췄다?!",마이 미씽 발렌타인
" Yo Oizumi , Tsuyoshi Muro , Satoshi Hashimoto , Tsutomu Takahashi , Takayuki Yamada , Yu Shirota , Jiro Sato , Kenshi Okada , Kento Kaku , Yuma Yamoto , Kazuaki Hankai , Kanna Hashimoto , Mizuki Yamamoto ", Yuichi Fukuda ,코미디 , 61% , 61% , 2020 ,1시간 54분,"1800년 전, 위.촉.오 세 나라가 패권을 다투는 격동의 시기. 짜증도, 투덜도 잘 내는 똥꼬발랄 촉나라 ‘유비’는 어쩔 수 없는(?) 세력 확장을 위해 팔랑귀 예스맨 ‘손권’과 함께 손을 잡는다. 촉.오나라 연합군 3만 vs 프로 음주가무러 ‘조조’가 이끄는 위나라 80만. 바로, 그 전설의 적벽대전이 시작된다! 감당불가 상상력 X 저세상 배꼽텐션 혼을 쏙~ 빼는 무근본 웃음 전쟁 개전!",신해석 삼국지
" Ben Schwartz , James Marsden , Jim Carrey , Tika Sumpter , Natasha Rothwell , Adam Pally , Lee Majdoub , Neal McDonough , Tom Butler , Frank C. Turner , Melody Nosipho Niemann , Shannon Chan-Kent , Brad Kelly , Elfina Luk , Garry Chalk , Michael Hogan , Peter Bryant , Jeremy Arnold , Jeanie Cloutier , Emma Oliver , Bailey Skodje , Dean Petriw , Jeff Sanca , Lisa Chandler , Chris Gailus , Bethel Lee , Anthony Santiago , Jeremiah Oh , Charles Heffernan , Terence Kelly , Sean Campbell , Scott Patey , Sandy Robson , Andrea Marcum , Benjamin Valic , Donna Jay Fulks , Colleen O'Shaughnessey , Nicholas Dohy , Debs Howard , Leanne Lapp , Nadeen Lightbody , John Specogna , Steve Warky Nunez , Breanna Watkins , Malik Bentalha ", Jeff Fowler ,"SF ,액션 ,범죄 ,가족 ,코미디 ", 6.5 (115k) , 79% , 2020 ,1시간 39분,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",Sonic the Hedgehog
" Oh Tae-kyung , Shin So-yul , Hur Gyu , Han Eun-sun , Shim Hyo-jung , Kye Moon-young ", Kim Dong-won ,로맨스 , 49% , 49% , 2020 ,1시간 31분,"9년째 영화를 만들지 않고 있는 영화감독 ‘경태’는 4년 반 동거한 ‘다운’과 헤어진 후에도 미련을 떨치지 못한 채 돌연 시 쓰기에 전념하고 있다. 그녀를 다시 만나면 시가 쓰일까…?  ​무작정 ‘다운’의 집 앞을 찾아가 텐트를 친 ‘경태’, 그의 대책 없는 행동에 어이란 어이는 다 없는 ‘다운’. 철저히 무시하려고 했지만 ‘경태’는 오히려 태연하게 텐트에서 라면도 끓이고 커피도 마시며 ‘다운’의 주변을 떠나지 않는다. 이런 상황에서 ‘다운’에게 호감 있는 인디가수 ‘율’, ‘다운’의 친구 ‘해림’까지 찾아오며 ‘다운’과 ‘경태’의 관계는 이미 끝난 줄 알았지만 점점 꼬여만 가는데…","시, 나리오"
" Liam Neeson , Kate Walsh , Jai Courtney , Jeffrey Donovan , Anthony Ramos , Robert Patrick , Jasmine Cephas Jones , Birol Tarkan Yildiz , Adam Teper , Jose Guns Alves , Osmani Rodriguez , Devon Diep , Michael Malvesti , Lewis D. Wheeler , Patty O'Neil ", Mark Williams ,"액션 ,범죄 ,드라마 ,스릴러 ", 6.0 (47k) , 71% , 2020 ,1시간 39분,희대의 폭파 전문 은행털이범 ‘톰’. 어떠한 증거도 남기지 않는 뛰어난 범행으로 8년간 FBI의 추적을 따돌린 그는 새로운 인생을 시작하기 위해 자수를 결심한다.  그러나 돈을 노리는 부패한 FBI의 음모와 가공할 위협이 그를 기다리고 있는데…,어니스트 씨프
,,, 6.5 , 6.5 , 2020 ,49min,,The Lockdown Plan
" Gang Dong-won , Lee Jung-hyun , Lee Re , Kwon Hae-hyo , Kim Min-jae , Koo Kyo-hwan , Kim Do-yoon , Lee Ye-won , Kim Gyu-baek , Jang So-yeon , Moon Woo-jin , Hwang Yeon-hui , Park Jong-beom , Daniel Joey Albright , Cha Si-won , Pierce Conran , John D. Michaels , Milan-Devi LaBrey , Christopher Gordon , Kim Tae-joon , Lee Seung-jin , Han Sung-soo , Seong Hyeok , Kim Se-dong , Lee Se-rang , Kim Yeong-jo , Choi Jeong-hyun , Bae Seong-min , Bella Rahim , Geoffrey Giuliano , Yoon Yeong-gyun ", Yeon Sang-ho ,"스릴러 ,공포 ,액션 ", 5.5 (30k) , 71% , 2020 ,1시간 56분,전대미문의 재난 이후 4년이 흐른 대한민국은 버려진 땅이 되어버렸다. 사람들은 고립된 섬이 된 반도에 갇혔고 누구의 생사도 확인할 수 없는 상황에서 정석은 피할 수 없는 미션을 받고 한국 땅에 다시 발을 들인다. 정석은 미지의 세계인 그곳에서 예상치 못한 습격을 받고 일촉즉발의 순간 ‘반도’의 생존자들을 만나게 된다.,반도
" Masaki Suda , Nana Komatsu , Takumi Saitoh , Nana Eikura , Mizuki Yamamoto , Mitsuko Baisho , Mahiro Takasugi , Fumika Baba , Fumi Nikaido , Ryo Narita , Yutaka Matsushige , Pistol Takehara , Sayaka Yamaguchi ", Takahisa Zeze ,로맨스 , 81% , 81% , 2020 ,2시간 10분,열두 살에 만난 첫사랑 ‘렌’과 ‘아오이’. 한눈에 서로의 상처를 알아보고 보듬어주며 두 사람의 인연이 시작된다. 함께 있어 즐거웠던 시간도 잠시 ‘아오이’ 가족이 쫓기듯 떠나면서 헤어지고 만다. “운명의 실’이 있다고 생각해” ‘아오이’가 준 소원팔찌를 8년 동안 간직한 ‘렌’. 어느 날 소원팔찌가 끊어지고 두 사람은 운명처럼 재회한다. 그 후 우연한 만남과 헤어짐이 반복되지만 그때마다 서로의 곁에 이미 다른 사람이 있어 엇갈리는데…,실: 인연의 시작
" Cho Min-soo , Kim Eun-young , Terris Brown , Lee Soo-kwang , Oh Woo-ri , Choi Ji-su , Park Se-jun , Kim Ji-hoon , Lee Kyu-ho ", Nam Yeon-woo ,"코미디 ,드라마 ", 6.3 , 71% , 2020 ,1시간 32분,"이태원에서 가수로 활동하며 주가를 올리고 있는 순덕에게 인연을 끊고 살던 엄마가 들이닥친다. 알고 보니 둘째 유리가 엄마와 순덕의 돈을 갖고 사라진 것. 유리와 돈을 찾겠다는 일념 하에 한 팀이 된 엄마와 딸은 이태원 구석구석을 찾아 헤매기 시작하고, 다 안다고 생각했던 유리의 비밀들을 마주하게 되는데...",초미의 관심사
" Ye Soo-jung , Ki Joo-bong , Kim Jun-gyeong , Kim Tae-hun , Kim Joong-ki , Shin Hyeon-jong , Park Ga-young ", Lim Sun-ae ,드라마 , 72% , 72% , 2020 ,1시간 37분,"69세 효정은 병원에서 치료를 받다가 29세의 남자 간호조무사에게 치욕적인 일을 당한다. 긴 고민 끝에 효정은 동거 중인 동인에게 이 사실을 알리고 경찰에 신고한다. 하지만 경찰과 주변 사람 모두 말도 안 되는 일이라며 효정을 치매 환자로 매도하고, 법원 역시 나이 차이를 근거로 사건의 개연성이 부족하다며 구속영장을 기각한다. 효정은 피해자가 더 고통 받는 현실에 굴하지 않고 용기를 내어 가해자를 향한 일갈을 준비하는데…",69세
