actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Alexa Miro , Rob Gomez , Pau Benitez , Candice Ramos , Rosh Barman , Sarah Holmes , Carlo Tarobal , Emilio Francisco , Chloe Reyes , Roeder Camanag , Donna Cariaga , Marina Benipayo , Shaun Salvador , Yvanne Evangelista ", Erik Matti ,"드라마 ,코미디 ,로맨스 ", 5.2 , 52% , 2021 ,2시간 11분,각자 오랜 연인과 헤어진 뒤 서로 다른 방식으로 이별에 대처하는 두 청춘. 한편 전 세계를 휩쓴 팬데믹은 현대인들의 데이트에도 커다란 여파를 미친다.,그 여자와 그 남자
" Frank Grillo , Mel Gibson , Naomi Watts , Annabelle Wallis , Ken Jeong , Will Sasso , Selina Lo , Meadow Williams , Michelle Yeoh , Mathilde Ollivier , Rob Gronkowski , Sheaun McKinney , Rio Grillo , Armida Lopez , Buster Reeves , Eric Etebari , Quinton Jackson , Rashad Evans , Joe Knezevich , Adam G. Simon , Melanie Kiran , Thomas Dewier , Aaron Beelner , Travis Gomez , Michael Tourek , John Cenatiempo , Brendan Johnston , Rigan Machado , Adetinpo Thomas , Eric Goins , Swen Temmel , Tyler Jon Olson , Robert Goon , Henry Penzi , Athena Akers , James William Ballard , Joe Carnahan ", Joe Carnahan ,"스릴러 ,SF ,액션 ", 6.8 (60k) , 76% , 2021 ,1시간 40분,"늘 똑같은 아침 7시가 되면 일어나 정체모를 킬러들과 숨막히는 추격전을 벌여야하는 남자 '로이'.  무한 타임루프 속에서 매일 죽고 살기를 반복하다 불현듯 그의 숨겨진 액션 본능이 눈을 뜨게 되는데...  145번째 아침, 오늘부턴 내가 킬러가 된다!",리스타트
" Alice Pagani , Rocco Fasano , Silvia Calderoni , Fabrizio Ferracane , Sergio Albelli , Giacomo Ferrara , Anita Caprioli , Federico Ielapi , Esther Elisha , Marco Pancrazi ", Andrea De Sica ,"공포 ,로맨스 ,판타지 ", 4.2 (1k) , 48% , 2021 ,1시간 30분,연인의 유혹으로 마약을 한 미르타는 약물 과다 복용으로 죽었지만 다시 살아나 사람의 피로 연명해야 하는 '오버데드'가 되고 오버데드를 사냥하여 처단하는 '베난단티' 그룹의 추격을 받는다. 이 작품은 환생하여 끔찍한 세상을 살아가는 한 여성의 이야기를 다룬 영화이다.,돈 킬 미
" Ester Birch , Alex Høgh Andersen , Danica Ćurčić , James Tarpey , Patricia Schumann , Fanny Leander Bornedal , Mads Riisom , Jens Sætter-Lassen , Malene Beltoft Olsen , Joen Højerslev , Kristian Ibler , Alban Lendorf , Susse Wold , Nicklas Søderberg Lundstrøm , Ella Josephine Lund Nilsson , Anděla Jirotková , Caspar Phillipson , Morten Suurballe , Michael Pitthan , Rikke Louise Andersson , Maria Rossing , Casper Kjær Jensen , Olaf Johannessen , Jaromír Nosek , Alex Figueiredo , Petr Meissel , Štepánka Fingerhutová , Jan Brichcin Jr. , Bertram Bisgaard Enevoldsen , Malena Lucia Lodahl , Henrik Noël Olesen , Mathias Flint , Inge Sofie Skovbo , Ida Procter , Malthe Jagd Miehe-Renard ", Ole Bornedal ,"드라마 ,역사 ,전쟁 ", 7.4 , 83% , 2021 ,1시간 47분,때는 제2차 세계대전. 아이들로 가득한 학교가 실수로 폭격 임무의 표적이 되면서 여러 코펜하겐 주민들의 운명이 충돌한다. 실제 사건을 기반으로 한 작품.,폭격
" Taylor Russell , Logan Miller , Indya Moore , Holland Roden , Thomas Cocquerel , Carlito Olivero , James Frain , Isabelle Fuhrman , Deborah Ann Woll , Tanya van Graan , Matt Esof , Jamie-Lee Money , Wayne Harrison , Lucy Newman-Williams , Scott Coker , Avianah Abrahams , Corin Silva , Evan Hengst , Anton David Jeftha , Jay Erving , Jaymes Butler , Amali Golden , Renee Harbek , Derek Siow , Jay Ellis , Tyler Labine , Nik Dodani , Yorick van Wageningen ", Adam Robitel ,"스릴러 ,액션 ,공포 ,SF ", 5.7 (36k) , 71% , 2021 ,1시간 28분,"출구 없는 탈출 게임에서 가까스로 살아남은 ‘조이’와 ‘벤’. 게임을 설계한 의문의 조직 ‘미노스’의 실체를 밝히기 위해 뉴욕에 도착한 두 사람은 정체불명의 남자에게 휘말려 지하철에 갇히고 만다. 순간 다른 칸과 분리된 열차 안에는 초고압 전류가 흐르기 시작하고, 그곳에 있는 6명 모두 게임의 생존자라는 것이 밝혀진다. 목숨을 건 탈출 게임이 다시 시작됐음을 직감한 그들은 뉴욕을 배경으로 벌어지는 극한의 상황에서 살아남기 위한 사투를 벌이는데….",이스케이프 룸 2: 노 웨이 아웃
" Maria Dębska , Leszek Lichota , Krzysztof Zalewski-Brejdygant , Bartłomiej Kotschedoff , Katarzyna Obidzińska , Borys Szyc , Pawel Tomaszewski , Katia Paliwoda , Rafał Rutkowski , Dariusz Basiński , Piotr Kaźmierczak , Iwo Rajski , Paulina Walendziak , Ksawery Szlenkier ", Katarzyna Klimkiewicz ,"로맨스 ,드라마 ", 6.1 , 67% , 2021 ,1시간 45분,1960년대 폴란드에서 최고의 인기를 누리던 칼리나 옝드루시크가 그녀에게 퇴짜를 맞은 뒤 그녀의 경력을 망가뜨리려 하는 고위 관리와 맞서 싸우는 이야기,오텀 걸
" Ryu Seung-ryong , Oh Na-ra , Kim Hee-won , Lee You-young , Seong Yu-bin , Moo Jin-sung , Oh Jung-se , Ryu Hyun-kyung , Park Hyoung-soo , Kim Gwi-seon , Choi Hee-jin , Kwak Min-kyu , Jeong Soo-ji , Lim Sung-mi , Kim Han-na , Kim Beom-soo ", Cho Eun-ji ,"로맨스 ,코미디 ", 6.8 , 70% , 2021 ,1시간 53분,7년째 슬럼프에 빠져 신작을 내놓지 못하고 있는 베스트셀러 작가 현. 되는 일 없이 우울한 현에게 이혼 후 싱글라이프를 즐기는 전처 미애와 한창 사춘기가 찾아와 첫사랑에 갈팡질팡하는 아들 성경 그리고 오랜 친구이자 출판사 대표인 순모가 의도치 않은 사건사고를 가져다준다. 평범하지 않은 로맨스로 얽힌 이들의 사생활이 밝혀진다.,장르만 로맨스
,,다큐멘터리 , 7.0 , 69% , 2021 ,1시간 20분,"An homage to Italian director Sergio Corbucci of the 1960s and contemporary director Quentin Tarantino, recounting a memorable period in Italian cinema with the sensibility of today.",Django & Django
" Andrew Garfield , Alexandra Shipp , Robin de Jesús , Vanessa Hudgens , Joshua Henry , Jonathan Marc Sherman , MJ Rodriguez , Ben Levi Ross , Judith Light , Bradley Whitford , Laura Benanti , Danielle Ferland , Micaela Diamond , Utkarsh Ambudkar , Gizel Jimenez , Kate Rockwell , Aneesa Folds , Joel Perez , Anna A. Louizos , Robyn Goodman , Judy Kuhn , Danny Burstein , Lauren Marcus , Richard Kind , Black Thought , Kenita R. Miller , Eddy Lee , Jared Loftin , Ryan Vasquez , Joanna Adler , Sheila Tapia , Ricardo Zayas , Travis Patton , Christopher Jackson , Jelani Alladin , Andrew Bancroft , Chris Sullivan , Luis A. Miranda Jr. , Kelly Watson , Chuck Cooper , André De Shields , Renée Elise Goldsberry , Joel Grey , Wilson Jermaine Heredia , Beth Malone , Howard McGillin , Brian Stokes Mitchell , Bebe Neuwirth , Adam Pascal , Bernadette Peters , Phylicia Rashād , Chita Rivera , Daphne Rubin-Vega , Phillipa Soo , Chad Beguelin , Nick Blaemire , Eli Bolin , Jason Robert Brown , Eisa Davis , Amanda Green , Quiara Alegría Hudes , Joe Iconis , Tom Kitt , Alex Lacamoire , Steven Levenson , Jaime Lozano , Dave Malloy , Matthew McCollum , Grace McLean , Helen Park , Stephen Schwartz , Marc Shaiman , Matthew Sklar , Georgia Stitt , Shaina Taub , Jeanine Tesori , Stephen Trask , Sean McDaniel , Victoria Theodore , Bryndon Cook , Debbie Tjong , Charles Conforti , Derrick Delgado , Mason Versaw , Javiel Sellas , Barbara Ames , James C. Nicola , Roger Bart , Emily Juean Stillings , Jennifer Laroche , Lauren Yalango-Grant , Ayo Janeen Jackson , Lucy Struever , Stephanie Crousillat , Gaby Diaz , Ilia Jessica Castro , Marie Rose Baramoski , Keisha 'Sparkle' Hughes , Lane Napper , Kyle McIntire , Sean Ryan , Christopher Grant , Austin Goodwin , Carlos Gonzalez , Callan Bergmann , Kyle Richard Robinson , Erin N. Moore , Taeler Cyrus , Spencer Clark , Ehizoje Azike , Chloe N. Crade , Maira Barriga Toyama , Christine Seinicki , Purdie Baumann , Erin Monteleone , Noah Lentini , Jacob Patrick Wasson , Adriel Flete , Dwany Guzman , Victoria Caban , Melody Rose , Alexia Belrose , Lin-Manuel Miranda , Stephen Sondheim , Ken Holmes , Jonathan Larson ", Lin-Manuel Miranda ,드라마 , 7.5 (83k) , 85% , 2021 ,1시간 55분,"뉴욕시에서 식당 웨이터로 일하는 한편, 명작을 쓰겠다는 희망으로 창작에 매진하는 뮤지컬 작곡가. 서른 살 생일과 중요 공연을 앞두고 심적 압박을 받는 상황에서도 사랑과 우정을 헤쳐나간다.","틱, 틱... 붐!"
" Agata Buzek , Jacek Braciak , Adam Woronowicz , Malgorzata Zajaczkowska , Paweł Kruszelnicki , Jakub Zając , Wiktoria Wolańska , Leon Grzegorzek , Karolina Bruchnicka , Julia Kuzka , Grzegorz Stępniak , Jaromír Nohavica ", Łukasz Grzegorzek ,"드라마 ,로맨스 ,코미디 ", 6.3 , 61% , 2021 ,1시간 39분,불행한 결혼 생활 속에서 대가족을 지키려 노력하는 여자. 설상가상으로 비밀을 아는 누군가가 익명으로 협박을 해오자 어떻게든 상황을 수습하려 애쓴다.,마이 원더풀 라이프
