actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Nikolaj Coster-Waldau , Joe Cole , Charles Dance , Heida Reed , Gísli Örn Garðarsson , Sam Redford , Diarmaid Murtagh , Ed Speleers , Frankie Wilson , Nick Jameson , Þorsteinn Bachmann , Árni Þór Lárusson , Haukur M. Hrafnsson ", Peter Flinth ,"역사 ,드라마 ", 6.5 (9k) , 78% , 2022 ,1시간 42분,잃어버린 지도를 찾기 위해 탐험을 떠난 이들. 두 남자가 광활한 그린란드에서 생존을 위한 싸움을 시작한다. 1909년 극 지방으로 떠난 덴마크 원정대의 실화에 기반한 이야기.,얼어버린 시간 속에서
" Leighton Meester , Christina Wolfe , Ziad Bakri , Luke Norris , Amar Bukvić , Iva Mihalić , Adrian Pezdirc , Marko Braić , Lujo Kunčević , Parth Thakerar , Siniša Novković , Maro Drobnić , Giobbe Araya , Dragan Balić , Kyla Mae Ibero , Ivana Krizmanić , Nenad Srdelić , Luka Mikulicić , Toma Mikulicić ", Kim Farrant ,"스릴러 ,범죄 ,드라마 ", 5.6 (10k) , 69% , 2022 ,1시간 29분,크로아티아에 함께 여행 온 절친이 사라졌다. 베스는 친구의 행적을 필사적으로 추적하기 시작하고. 하지만 단서를 따라갈수록 충격적인 속임수가 하나씩 드러난다.,위크엔드 어웨이
" İpek Filiz Yazıcı , Mert Ramazan Demir , Ferit Aktuğ , Mekin Sezer , Kerem Alp Kabul , Enes Külahçı , Elif Cakman , Cemile Çigdem Canyurt , Eda Akalın , Nilsu Yılmaz , İlker Aksum , Dolunay Soysert ", Onur Bilgetay ,"로맨스 ,드라마 ,다큐멘터리 ", 4.7 , 61% , 2022 ,1시간 49분,투박한 모터사이클 레이서와 사랑에 빠진 음악가 지망생 데니즈. 비극적인 사건과 가족의 반대로 험난한 연애를 시작한다.,너는 나의 UFO
" Ryan Reynolds , Walker Scobell , Mark Ruffalo , Jennifer Garner , Zoe Saldana , Catherine Keener , Alex Mallari Jr. , Braxton Bjerken , Kasra Wong , Lucie Guest , Donald Sales , Esther Ming Li , Ben Wilkinson , Milo Shandel ", Shawn Levy ,"코미디 ,SF ,드라마 ,액션 ", 6.9 (26k) , 81% , 2022 ,1시간 46분,시간 여행 중 2022년에 불시착한 전투기 파일럿 애덤 리드. 그가 12살 시절의 자기 자신과 한 팀이 되어 미래를 구하는 임무에 나선다.,애덤 프로젝트
" Eve , Ano , Hanon "," Yuichiro Saeki , Hibiki Yoshizaki , Nobutaka Yoda , Waboku ","드라마 ,애니메이션 ,음악 ", 71% , 71% , 2022 ,58min,"놀라운 상상력의 아티스트 이브의 손에서 아니메, 실사와 음악이 만났다. 아담과 이브의 이야기에서 영감을 받은 몽환적이고 감각적인 작품.",이브가 노래하는 아담: 라이브 인 애니메이션
" Jane Campion , Thomas Savage , Jesse Plemons , Kirsten Dunst , Benedict Cumberbatch , Thomasin McKenzie , Kodi Smit-McPhee "," Prisca Bouchet , Nick Mayow ",다큐멘터리 , 75% , 75% , 2022 ,17min,"Get a rare glimpse into the creative process of Academy Award-winning filmmaker Jane Campion as she shares her memories of making ""The Power of the Dog.""",Behind the Scenes With Jane Campion
" Sarah Yarkin , Elsie Fisher , Mark Burnham , Jacob Latimore , Moe Dunford , Olwen Fouéré , Jessica Allain , Nell Hudson , Alice Krige , William Hope , Jolyon Coy , Sam Douglas , John Larroquette ", David Blue Garcia ,"스릴러 ,공포 ,범죄 ", 4.8 (39k) , 60% , 2022 ,1시간 21분,텍사스의 한 유령 도시. 이곳에 생기를 불어넣겠다는 꿈을 안고 도착한 인플루언서들. 이들이 악명 높은 살인마 '살가죽 가면'과 마주친다. 《텍사스 전기톱 학살》의 속편.,텍사스 전기톱 학살 2022
" Franck Gastambide , Simon Abkarian , Michaël Abiteboul , Tracy Gotoas , Jemina West , Serge Hazanavicius , Victoire Zenner , Perez Michael , Fabrice de la Villehervé , Anaïs Ciriello , Arnaud Dumont , Patrick Bull , Marius Blondeau , Laurence Briand , Pierre Cévaër , Blaise Ludik , Hélène Viviès , Laurent Maurel , Kévin Debonne , Serge Hologne , Abel Tesch , John Davis Spruyt ",,"스릴러 ,범죄 ,액션 ", 5.7 (2k) , 70% , 2022 ,1시간 36분,극단적인 방법으로 사건을 은폐해 버린 부패 경찰. 정체불명의 목격자로부터 협박을 받으면서 그의 인생은 걷잡을 수 없는 소용돌이 속으로 빠져든다.,레스틀리스
" Mario Maurer , Pimchanok Leuwisetpaiboon , Michael S. New , David Asavanond , Sahajak Boonthanakit ", Stephan Zlotescu ,"로맨스 ,드라마 ,SF ", 4.3 , 58% , 2022 ,1시간 35분,인간을 사랑하게 된 AI가 인간 남자의 몸으로 들어가 사랑하는 여자에게 다가간다는 내용,AI가 당신을 사랑해요
" Filippo Timi , Francesco Scianna , Francesco Gheghi , Giulia Maenza , Jodhi May , Valentina Cervi , Gerald Tyler , Emanuele Maria Di Stefano , Matteo Oscar Giuggioli , Tim Daish , Alessia Giuliani , Mauro Conte , Gianluca De Marchi , Ambrosia Caldarelli , Nicola Vendola , Martina Querini , Enrico Borello ", Marco S. Puccioni ,"드라마 ,가족 ,코미디 ", 6.6 , 77% , 2022 ,1시간 30분,"아버지가 둘인 십 대의 아들. 부모에 대한 다큐멘터리를 찍으면서, 가족과 관련된 놀라운 반전에 충격을 받는다.",보이지 않는 끈
