serial,title_kor,opening_date,just_rating,imdb_rating,runtime,synopsis,director,actors,genre,posterLink,netflix,disney,wavve,watcha
259066109,황무지의 괴물,2022,54%,4.6,1시간31분,19세기 외딴 황무지에 세상과 단절된 채 살아가는 가족이 있다. 이 집의 어린 아들 디에고는 공포심을 먹고 사는 사악한 괴물로부터 자신과 어머니를 지켜낼 수 있을까?,,"InmaCuesta,AsierFlores,RobertoÁlamo,AlejandraHoward,MariàLlop,VíctorBenjumea","공포,스릴러,드라마",https://images.justwatch.com/poster/259066109/s592,1,0,0,0
261668749,홈 팀,2022,74%,6,1시간35분,자격 정지 처분을 받은 NFL 감독 숀 페이턴. 아들이 선수로 뛰는 형편없는 유소년 풋볼팀을 감독한다. 이제 아들과 다시 가까워질 수 있겠지? 실화 기반의 가족 코미디.,"CharlesKinnane,DanielKinnane","KevinJames,TaylorLautner,RobSchneider,JackieSandler,TaitBlum,GaryValentine,LavellCrawford,ChloeFineman,MaxwellSimkins,JacobPerez,BryantTardy,MannyMagnus,LiamKyle,ChristopherFarrar,MerekMastrov,IsaiahMustafa,JaredSandler,SeanPayton,TracyWolfson,DanPatrick,BillCowher,JimNantz","코미디,스포츠",https://images.justwatch.com/poster/261668749/s592,1,0,0,0
259326899,해적: 도깨비 깃발,2022,74%,6.1,2시간6분,"자칭 고려 제일검인 의적단 두목 무치와 바다를 평정한 해적선의 주인 해랑. 한 배에서 운명을 함께하게 된 이들이지만 산과 바다, 태생부터 상극으로 사사건건 부딪히며 바람 잘 날 없는 항해를 이어간다. 그러던 어느 날, 왜구선을 소탕하던 이들은 흔적도 없이 사라진 왕실의 보물이 어딘가 숨겨져 있다는 사실을 알게 되고 해적 인생에 다시없을 최대 규모의 보물을 찾아 위험천만한 모험에 나서기 시작한다. 하지만 사라진 보물을 노리는 건 이들뿐만이 아니었으니! 원하는 것을 얻기 위해 수단과 방법을 가리지 않는 역적 부흥수 또한 보물을 차지하기 위해 바다에 뛰어드는데...",KimJoung-hoon,"KangHa-neul,HanHyo-joo,LeeKwang-soo,KwonSang-woo,ChaeSoo-bin,Sehun,KimSung-oh,ParkJi-hwan,SungDong-il,KimKi-doo","코미디,액션",https://images.justwatch.com/poster/259326899/s592,1,0,0,0
263193885,하트 샷,2022,64%,64%,18min,십 대 소녀 니키와 샘은 서로 사랑하는 사이. 둘은 함께 미래를 꿈꾼다. 니키의 위험한 과거가 찾아와 모든 걸 위협할 줄은 전혀 모른 채. 단편 영화로 만나는 이야기.,,"ElenaHeuzé,NiaSondaya,BethanyCurry,HilaryWard,RyanMichaelHarrison,ZackDuhame,KhalidGhajji,JoshFried,ChadGuerrero","로맨스,범죄",https://images.justwatch.com/poster/263193885/s592,1,0,0,0
260124702,톨 걸 2,2022,63%,4.7,1시간37분,"학교 뮤지컬에서 주인공을 맡게 된다니. 조디의 꿈이 드디어 현실이 되는 걸까. 하지만 압박감에 짓눌려 자신감도, 남자 친구와의 관계도 와르르 무너질 위기에 처하고 만다.",EmilyTing,"AvaMichelle,GriffinGluck,SabrinaCarpenter,ClaraWilsey,AngelaKinsey,RicoParis,AnjelikaWashington,LukeEisner,SteveZahn,JanLuisCastellanos,JohannaLiauw,ChrisWylde,RachaelThompson","드라마,코미디,가족,로맨스",https://images.justwatch.com/poster/260124702/s592,1,0,0,0
264676598,텍사스 전기톱 학살 2022,2022,61%,4.8,1시간21분,텍사스의 한 유령 도시. 이곳에 생기를 불어넣겠다는 꿈을 안고 도착한 인플루언서들. 이들이 악명 높은 살인마 '살가죽 가면'과 마주친다. 《텍사스 전기톱 학살》의 속편.,DavidBlueGarcia,"SarahYarkin,ElsieFisher,MarkBurnham,JacobLatimore,MoeDunford,OlwenFouéré,JessicaAllain,NellHudson,AliceKrige,WilliamHope,JolyonCoy,SamDouglas,JohnLarroquette","공포,스릴러,범죄",https://images.justwatch.com/poster/264676598/s592,1,0,0,0
268711649,캣 버글러: 박물관을 털어라,2022,72%,6.9,12min,"In this edgy, over-the-top, interactive trivia toon, answer correctly to help Rowdy the Cat evade Peanut the Security Pup to steal some prized paintings.","JamesBowman,MikeHollingsworth","AlanLee,JamesAdomian,TrevorDevall,ElyseWillis","애니메이션,코미디",https://images.justwatch.com/poster/268711649/s592,1,0,0,0
261648326,인투 더 윈드,2022,60%,5.2,1시간48분,"일렁이는 파도와 반짝이는 햇빛, 뜨거운 열정이 기다리는 해변 휴양지. 부유층 집안의 십 대 소녀가 자유분방한 카이트 서핑 강사를 만나 첫사랑에 빠진다.",KristofferRus,"SoniaMietielica,JakubSasak,Bitamina,SoniaBohosiewicz,JakubCzachor,SebastianDela,KarolDziuba,WojciechGąssowski,WaleriaGorobets,JakubKuzia,GrzegorzMałecki,MartaOjrzyńska,IlonaOstrowska,MarcinPerchuć,WłodzimierzPress,KorneliaStrzelecka,AgnieszkaŻulewska","로맨스,드라마,스포츠,코미디",https://images.justwatch.com/poster/261648326/s592,1,0,0,0
267979348,인 굿 핸즈,2022,71%,5.6,1시간44분,"불치병을 앓는 싱글맘, 멜리사. 고집불통인 여섯 살 아들의 미래 때문에 고민하던 그녀 앞에 수려한 외모의 한 남자가 나타난다.",Ketche,"AslıEnver,KaanUrgancıoğlu,MertEgeAk,EzgiŞenler,VuralSahanoglu,LatifKoru,GizemÖzmen,SertaçGüder,DefneAyseÖzpirinç","드라마,가족,로맨스,코미디",https://images.justwatch.com/poster/267979348/s592,1,0,0,0
260771327,이랙스,2022,67%,67%,13min,마법 동화책에서 요괴들이 튀어나와 한바탕 대혼란을 일으킨다. 악동 요괴들에 맞선 고모와 조카의 활약을 그린 오싹한 단편 영화.,HebruBrantley,"JasmineCephasJones,GenesisWhite,LanceGross","스릴러,가족",https://images.justwatch.com/poster/260771327/s592,1,0,0,0
